Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0.74,V201141x,2
proxy_0.95,0.74,V201139,2
proxy_0.95,0.74,V201129x,1
proxy_0.95,0.74,V201420x,1
proxy_0.95,0.74,V201110,1
proxy_0.95,0.74,V201246,1
proxy_0.95,0.74,V201366,1
proxy_0.95,0.74,immigrant_deport,4
proxy_0.95,0.74,V201344,1
proxy_0.95,0.74,V201422,1
proxy_0.95,0.74,V201323x,1
proxy_0.95,0.74,V201435,1
proxy_0.95,0.74,V201651,1
proxy_0.95,0.74,V201213,1
proxy_0.95,0.74,V201423x,1
proxy_0.95,0.74,V201385,1
proxy_0.95,0.74,V201342x,1
proxy_0.95,0.74,V201253,1
proxy_0.95,0.75,V201422,6
proxy_0.95,0.75,immigrant_deport,1
proxy_0.95,0.75,V201507x,2
proxy_0.95,0.75,V201387,1
proxy_0.95,0.75,V201131,5
proxy_0.95,0.75,V201435,1
proxy_0.95,0.75,V201524,1
proxy_0.95,0.75,immigrant_citizenship,11
proxy_0.95,0.75,V201344,4
proxy_0.95,0.75,V201201,2
proxy_0.95,0.75,V201366,1
proxy_0.95,0.75,V201340,1
proxy_0.95,0.75,V201143,1
proxy_0.95,0.75,V201575,1
proxy_0.95,0.75,V201230,2
proxy_0.95,0.75,V201596,1
proxy_0.95,0.75,V201127,1
proxy_0.95,0.75,V201137,1
proxy_0.95,0.75,V201339,4
proxy_0.95,0.75,V201246,1
proxy_0.95,0.75,V201318,1
proxy_0.95,0.75,V201420x,1
